,Tourist_Spot,Address_x,Latitude,Longitude
0,9/11 Memorial & Museum,"180,  Greenwich Street,  Manhattan Community Board 1,  Manhattan,  New York County,  City of New York,  New York,  10007,  United States",40.7114527,-74.01267026823710
4,American Museum of Natural History,"180,  Central Park West,  Manhattan Community Board 7,  Manhattan,  New York County,  City of New York,  New York,  10024,  United States",40.78110065,-73.97423619833330
12,Brooklyn Botanic Garden,"East Drive,  Brooklyn,  Kings County,  City of New York,  New York,  11225,  United States",40.6676619,-73.9636261307673
13,Brooklyn Bridge,"Brooklyn,  Kings County,  New York County,  City of New York,  New York,  10038,  United States",40.7030828,-73.9929257
19,Carnegie Hall,"West 57th Street,  Manhattan Community Board 5,  Manhattan,  New York County,  City of New York,  New York,  10019,  United States",40.76503,-73.97988681588420
22,City Hall Park,"Manhattan Community Board 1,  Manhattan,  New York County,  City of New York,  New York,  10007,  United States",40.71286785,-74.00586977687580
33,Grand Central Terminal,"89,  East 42nd Street,  Manhattan Community Board 5,  Manhattan,  New York County,  City of New York,  New York,  10017,  United States",40.7528064,-73.9771792
48,New York Botanical Garden,"2900,  Southern Boulevard,  Belmont,  Bronx County,  The Bronx,  City of New York,  New York,  10458,  United States",40.86224305,-73.87715409529780
62,Radio City Music Hall,"West 50th Street,  Manhattan Community Board 5,  Manhattan,  New York County,  City of New York,  New York,  10019,  United States",40.7598116,-73.97927905642850
64,Rockefeller Center,"45,  Rockefeller Plaza,  Manhattan Community Board 5,  Manhattan,  New York County,  City of New York,  New York,  10111,  United States",40.75925755,-73.97995686116380
70,Statue of Liberty National Monument," Manhattan,  New York County,  City of New York,  Hudson County,  New York,  United States",40.69011015,-74.0453624536292
71,The High Line,"West 15th Street,  Manhattan Community Board 4,  Manhattan,  New York County,  City of New York,  New York,  10011,  United States",40.74770385000000,-74.00489117085410
72,The Met Cloisters,"99,  Margaret Corbin Drive,  Manhattan Community Board 12,  Manhattan,  New York County,  City of New York,  New York,  10040,  United States",40.8648684,-73.9319228
77,Times Square,"Manhattan Community Board 5,  Manhattan,  New York County,  City of New York,  New York,  10036,  United States",40.7572614,-73.98589982948510
79,United Nations," Manhattan,  New York County,  City of New York,  New York,  United States",40.750214150000000,-73.96727182919950
82,Wall Street,"Manhattan Community Board 1,  Manhattan,  New York County,  City of New York,  New York,  10005,  United States",40.707664,-74.0115162
83,Washington Square Park,"Manhattan Community Board 2,  Manhattan,  New York County,  City of New York,  New York,  United States",40.7308901,-73.99758922670230
86,Williamsburg Bridge,"Brooklyn,  Kings County,  New York County,  City of New York,  New York,  11249,  United States",40.712108,-73.9670879
94,Central Park Zoo,"65th Street Transverse,  Manhattan,  New York County,  City of New York,  New York,  10153,  United States",40.7676005,-73.97184547517400
99,Tompkins Square Park,"Manhattan Community Board 3,  Manhattan,  New York County,  City of New York,  New York,  10009,  United States",40.72648575,-73.98168426021620
107,Whitney Museum of American Art,"99,  Gansevoort Street,  Manhattan Community Board 2,  Manhattan,  New York County,  City of New York,  New York,  10014,  United States",40.73964505,-74.00892095028980
108,Central Park," New York County,  City of New York,  New York,  United States",40.7827725,-73.9653627406542
110,Coney Island,"Kings County,  City of New York,  New York,  11224,  United States",40.57580705,-73.99217527476980
113,IFC Center,"323,  6th Avenue,  University Village,  West Village,  Manhattan,  New York County,  City of New York,  New York,  10014,  United States",40.7312243,-74.00166540166390
116,New York Aquarium,"Surf Avenue,  Brooklyn,  Kings County,  City of New York,  New York,  11224,  United States",40.57426545,-73.97524941751110
117,Yankee Stadium,"1,  East 161st Street,  Bronx County,  The Bronx,  City of New York,  New York,  10451,  United States",40.82958275,-73.92652118491900
119,One World Trade Center,"285,  Fulton Street,  Manhattan Community Board 1,  Manhattan,  New York County,  City of New York,  New York,  10048,  United States",40.71301605,-74.01317789379430
120,Madison Square Park,"11,  Manhattan Community Board 5,  Manhattan,  New York County,  City of New York,  New York,  10010,  United States",40.742203,-73.9879654739484
124,New York Stock Exchange,"11,  Wall Street,  Manhattan Community Board 1,  Manhattan,  New York County,  City of New York,  New York,  10005,  United States",40.7070653,-74.01117614207920
157,New York Public Library for the Performing Arts,"Dorothy and Lewis B. Cullman Center,  40,  Hearst Plaza,  Manhattan Community Board 7,  Manhattan,  New York County,  City of New York,  New York,  10023,  United States",40.7732287,-73.9847509
163,Pier 45,"Manhattan Community Board 2,  Manhattan,  New York County,  City of New York,  New York,  United States",40.7331703,-74.01241813815470
164,American Stock Exchange Building,"86,  Trinity Place,  Manhattan Community Board 1,  Manhattan,  New York County,  City of New York,  New York,  10006,  United States",40.7087107,-74.0126127206991
165,Pier 40,"Hudson River Park Esplanade,  West Village,  Manhattan,  New York County,  City of New York,  New York,  10014,  United States",40.7295142,-74.01270717178990
166,New York City Center,"West 55th Street,  Clinton,  Midtown,  Manhattan,  New York County,  City of New York,  New York,  10019,  United States",40.7639353,-73.97946023256340
10,Bronx Library Center,"310,  East Kingsbridge Road,  Fordham,  Bronx County,  The Bronx,  City of New York,  New York,  10458,  United States",40.8630928,-73.89451320075730
11,Bronx Zoo,"2300,  Southern Boulevard,  Belmont,  Bronx County,  The Bronx,  City of New York,  New York,  10460,  United States",40.84930445,-73.87713791835210